Article Title ,Abstract,Review,Review Type
Modeling and implementation of a real-time digital twin for the Stewart platform with real-time trajectory computation,"The concept of a digital twin is increasingly acknowledged as an innovative and promising tool with significant potential in various end-use applications. At the heart of digital twin technology is the acquisition of real-time data from physical entities. However, the occurrence of disturbances necessitates the incorporation of resilience features within the digital twin architecture. The primary objective of this article is to develop resilient digital twins specifically for the Stewart platform. This work focuses on constructing the virtual component of the digital twin using MATLAB/Simulink and subsequently integrating this virtual model with its physical counterpart to establish a comprehensive digital twin system. Unlike other models, this system includes a motion trajectory computation module. This module is designed to receive signals from physical entities and convert them into motion trajectory data for input into the model, thereby aiming to accurately reflect the state of the physical entities under disruptive conditions. This functionality significantly enhances the reliability of the system beyond that of traditional digital twin systems. Furthermore, the article explores novel strategies and a framework for enhancing the resilience of the Stewart platform to disturbances.","Basic reporting
Professional English Usage:
The manuscript maintains a professional tone and is generally well-written. However, a few minor grammatical errors and awkward phrasings remain. For example, in the introduction, the phrase ""the trustworthiness of a digital twin is a critical factor influencing its effectiveness"" could be restructured for better clarity.

Literature References and Background:
The authors have done an excellent job providing relevant literature and contextual background for their research. The inclusion of new citations and restructuring of explanations for key terms such as ""Jacobian matrix"" and ""inverse kinematics"" improves accessibility for a broader audience.

Figures and Data Presentation:
The authors have addressed my comments regarding figure descriptions. The clarification of color coding in Figure 5 and the addition of axis units in Figures 16-18 enhance clarity. The additional explanation of Figure 22 outlining the three-layer resilience architecture strengthens the manuscript's technical depth.

Self-Containment and Hypothesis Alignment:
The manuscript is self-contained and aligns well with the stated research objectives. However, the conclusions could still benefit from a more explicit discussion on how the study’s findings align with the hypothesis.

Experimental design
Originality and Scope:
The study aligns well with the journal's aims and scope, offering an innovative approach to integrating resilience into digital twins for Stewart platforms.

Research Question and Knowledge Gap:
The research question is well-defined, and the manuscript effectively highlights how it contributes to filling a knowledge gap. The discussion on resilience in digital twins and the integration of adaptive feedback mechanisms strengthens the manuscript’s relevance.

Methodological Rigor and Replicability:
The revised manuscript provides additional details on how data flows between the physical and virtual components. The clarification regarding network communication protocols (TCP/IP) and the use of structured databases for storing and refining model parameters improves transparency and replicability. The explanation of MQTT implementation for real-time communication is a valuable addition.

Validity of the findings
Data and Statistical Soundness:
The authors have responded to concerns regarding validation but should further strengthen their presentation of results demonstrating resilience. The paper primarily focuses on building a digital twin but does not provide extensive quantitative results showing how resilience is improved.

Conclusions and Justification:
While the discussion on resilience mechanisms has been expanded, additional experimental results showcasing the effectiveness of these mechanisms would further solidify the claims. The proposed future integration of neural networks for enhanced resilience is promising, but more evidence from simulations or tests would strengthen the conclusions.

Additional comments
The explanation of how disruptions were introduced (e.g., deactivating Stewart platform actuators) is much clearer now. However, numerical results demonstrating system recovery times or performance improvements would be beneficial.

The discussion section includes future work on integrating AI techniques, such as graph convolutional neural networks, to enhance resilience. While valuable, a brief feasibility assessment or preliminary results would provide additional support for this proposed direction.",Authentic
Intersection collision prediction and prevention based on vehicle-to-vehicle (V2V) and cloud computing communication,"In modern transportation systems, the management of traffic safety has become increasingly critical as both the number and complexity of vehicles continue to rise. These systems frequently encounter multiple challenges. Consequently, the effective assessment and management of collision risks in various scenarios within transportation systems are paramount to ensuring traffic safety and enhancing road utilization efficiency. In this paper, we tackle the issue of intelligent traffic collision prediction and propose a vehicle collision risk prediction model based on vehicle-to-vehicle (V2V) communication and the graph attention network (GAT). Initially, the framework gathers vehicle trajectory, speed, acceleration, and relative position information via V2V communication technology to construct a graph representation of the traffic environment. Subsequently, the GAT model extracts interaction features between vehicles and optimizes the vehicle driving strategy through deep reinforcement learning (DRL), thereby augmenting the model’s decision-making capabilities. Experimental results demonstrate that the framework achieves over 80% collision recognition accuracy concerning true warning rate on both public and real-world datasets. The metrics for false detection are thoroughly analyzed, revealing the efficacy and robustness of the proposed framework. This method introduces a novel technological approach to collision prediction in intelligent transportation systems and holds significant implications for enhancing traffic safety and decision-making efficiency.","Basic reporting
The manuscript proposes a deep learning-based model for a specific prediction task. It discusses the model architecture, data preprocessing steps, and experimental results. The author claims significant improvements over existing methods and thoroughly analyses the model's performance. However, some aspects could be strengthened to enhance the work's clarity and robustness, particularly in areas related to model architecture, hyperparameter tuning, and evaluation metrics.
1. You mention using a ""deep learning network"" for prediction in Chapter 2, but it is unclear which specific network architecture was used. To enhance clarity, I recommend expanding on the architecture in the ""Model Architecture"" section by specifying the type of network used, detailing each layer's configuration activation functions, and providing a structure diagram. This will help readers understand the model design.

Experimental design
2. In Section 3, you mention standardization but do not provide enough detail on the methodology or parameter selection. I suggest expanding this section by specifying how standardization was performed using the mean and standard deviation of the training set, whether missing values were imputed, and how outliers were handled.
3. The model training section lacks any mention of hyperparameter tuning. I recommend discussing hyperparameter optimization in the ""Model Training"" section, describing the methods used (such as grid search or random search), and specifying the ranges of hyperparameters explored.

Validity of the findings
4. Currently, you only use accuracy as an evaluation metric, which may not fully capture the model's performance, especially in imbalanced datasets. I recommend adding other evaluation metrics such as F1-score, AUC, and Precision-Recall curves, especially when dealing with classification tasks, to provide a more comprehensive assessment of the model's performance.
5. The manuscript does not provide sufficient information about the experimental setup, hardware configurations, or random seeds, which makes reproducing the experiments difficult. I suggest adding this information in the ""Experimental Setup"" section, including details of the hardware platform used, the framework version, and the random seed to ensure reproducibility.
6. The manuscript does not compare with other models or traditional methods. To validate the superiority of the proposed model, I recommend adding comparison experiments with at least two traditional machine learning methods (such as SVM XGBoost) and presenting their performance in terms of accuracy, F1-score, etc.",Authentic
Research on channel estimation based on joint perception and deep enhancement learning in complex communication scenarios,"In contemporary wireless communication systems, channel estimation and optimization have become increasingly pivotal with the growing number and complexity of devices. Communication systems frequently encounter multiple challenges, such as multipath propagation, signal fading, and interference, which may result in the degradation of communication quality, a reduction in data transmission rates, and even communication interruptions. Therefore, effective estimation and optimization of channels in complex communication environments are of paramount importance to ensure communication quality and enhance system performance. In this article, we address the intelligent, reflective surface (IRS)-assisted channel estimation problem and propose an intelligent channel estimation model based on the fusion of convolutional neural network (CNN) and gated recurrent unit (GRU) row features, utilizing the reinforcement learning Deep Deterministic Policy Gradient (DDPG) strategy for Channel Reconstruction Prediction and Generation Network (CRPG-Net). The framework initially acquires the received signal by converting the guide-frequency symbols at the transmitter into time-domain sequences to be transmitted, and after propagating through the direct channel and the IRS reflection channel, processes the data at the receiver. Subsequently, the spatial and temporal features in the received signal are extracted using the CRPG-Net model, with the adaptive optimization capability of the model enhanced by deep reinforcement learning. The introduction of reinforcement learning enables the model to continuously optimize decisions in dynamic channel environments, improve the robustness of channel estimation, and quickly adjust the IRS reflection parameters when the channel state changes to adapt to complex communication conditions. Experimental results demonstrate that the framework achieves significant channel estimation accuracy and robustness across several public datasets and real test scenarios, with the channel estimation error markedly smaller than that of traditional least squares (LS) and linear minimum mean square error (LMMSE) methods. This method introduces innovative techniques for channel estimation in intelligent communication systems, playing a crucial role in enhancing communication quality and overall system performance.","Basic reporting
All comments have been added in detail to the last section.

Experimental design
All comments have been added in detail to the last section.

Validity of the findings
All comments have been added in detail to the last section.

Additional comments
Review Report for PeerJ Computer Science
(Research on channel estimation based on joint perception and deep enhancement learning in complex communication scenarios)

1. Within the scope of the study, a reinforcement learning based deep learning model was proposed to increase the quality of communication in complex communication environments and various channel estimation studies were carried out.

2. In the introduction, intelligent reflective surface technology and the importance of the subject with communication technologies were mentioned at a basic and sufficient level. In addition, the main contributions of the study were stated clearly and in bullet points.

3. In the Related works section, the literature related to the study was discussed in terms of both channel estimation based on deep learning methods and intelligent reflective surface and joint sensing channel estimation. Although the literature on the subject was mentioned in this section, a more in-depth analysis should be made especially in terms of deep learning methods. In this section, it is suggested to add a detailed literature table so that the proposed model can come to the forefront more.

4. In the Methodology section, both gated recurrent unit networks and convolutional neural networks based on deep learning were mentioned at a basic but sufficient level.

5. When the framework and details of the proposed CRPG-Net model are examined and compared with the literature, it is observed that it has a certain level of originality in this study.

6. Examining the types of metrics used in the study and the results obtained accordingly, it is understood that they are both at an acceptable level. In addition, comparing the obtained results with some models in the literature and demonstrating their superiority further increases the quality of the study.

As a result, the study has the potential to present an important deep learning-based model to the literature in terms of channel estimation model. However, attention should be paid to the above sections.",Authentic
Isolation and identification of endophytic fungi from Conyza blinii that exhibit antioxidant and antibacterial activities,"Background
As a medicinal plant, Conyza blinii is known to contain a wealth of bioactive constituents, including flavonoids, terpenes, and triterpenoid saponins, which contribute to its anti-inflammatory and anticancer properties. Endophytic fungi, which symbiotically inhabit plant tissues, are recognized for their ability to synthesize bioactive metabolites analogous to those of their hosts. However, the potential of C. blinii-associated endophytes remains underexplored. This study aims to isolate and characterize phenols-producing endophytic fungi from C. blinii, evaluate their biological activities, and analyze their chemical components to provide new insights for drug development.

Methods
During the study, 20 endophytic fungi were isolated from C. blinii. The Folin-Ciocalteu method was used to screen for strains capable of producing phenolic compounds. To assess their bioactivity, ethyl acetate extracts of different concentrations were tested for antibacterial and antioxidant activities. Antibacterial activity was evaluated using minimum inhibitory concentration (MIC) determinations, while antioxidant activity was assessed through 2,2-Diphenyl-1-picrylhydrazyl (DPPH) radical, 2,2′-Azinobis-(3-ethylbenzthiazoline-6-sulfonic acid) (ABTS) radical, hydroxyl radical, and superoxide anion radical scavenging assays. Additionally, liquid chromatography-mass spectrometry analysis was conducted to quantify the active components in the extracts.

Results
Among the isolated 20 endophytic fungi, four strains successfully produced phenolic compounds, with the highest total phenolic content of 77.17 ± 1.93 mg milligrams of gallic acid equivalents per gram of extract (GAE/g). All ethyl acetate extracts from the endophytic fungi exhibited good antibacterial and antioxidant properties. Notably, Fusarium circinatum demonstrated exceptional antioxidant activity, with scavenging rates for DPPH and ABTS radicals reaching 94.28 ± 0.042% and 96.60 ± 0.017%, respectively. The ethyl acetate extract of F. foetens showed remarkable antibacterial effects against Escherichia coli and Staphylococcus aureus, with MIC values as low as 0.5 mg/mL. Furthermore, liquid chromatography-mass spectrometry (LC-MS) analysis revealed that F. foetens could produce various high-value phenolic compounds, including tyrosol (626.1884 ng/mL) and homovanillic acid (369.15486 ng/mL), which hold potential pharmaceutical value.

Discussion
This study isolated 20 endophytic fungi from C. blinii, discovering that four strains, produced phenolic compounds with strong antioxidant and antimicrobial properties. Among them, F. circinatum exhibited the highest antioxidant activity. Additionally, the fungi produced bioactive metabolites with potential applications in health care, medicine, and agriculture. These findings highlight the potential of C. blinii endophytes for sustainable bioactive compound production.","Basic reporting
All comments have been added in detail to the last section.

Experimental design
All comments have been added in detail to the last section.

Validity of the findings
All comments have been added in detail to the last section.

Additional comments
Review Report for PeerJ Computer Science
(Research on channel estimation based on joint perception and deep enhancement learning in complex communication scenarios)

1. Within the scope of the study, a reinforcement learning based deep learning model was proposed to increase the quality of communication in complex communication environments and various channel estimation studies were carried out.

2. In the introduction, intelligent reflective surface technology and the importance of the subject with communication technologies were mentioned at a basic and sufficient level. In addition, the main contributions of the study were stated clearly and in bullet points.

3. In the Related works section, the literature related to the study was discussed in terms of both channel estimation based on deep learning methods and intelligent reflective surface and joint sensing channel estimation. Although the literature on the subject was mentioned in this section, a more in-depth analysis should be made especially in terms of deep learning methods. In this section, it is suggested to add a detailed literature table so that the proposed model can come to the forefront more.

4. In the Methodology section, both gated recurrent unit networks and convolutional neural networks based on deep learning were mentioned at a basic but sufficient level.

5. When the framework and details of the proposed CRPG-Net model are examined and compared with the literature, it is observed that it has a certain level of originality in this study.

6. Examining the types of metrics used in the study and the results obtained accordingly, it is understood that they are both at an acceptable level. In addition, comparing the obtained results with some models in the literature and demonstrating their superiority further increases the quality of the study.

As a result, the study has the potential to present an important deep learning-based model to the literature in terms of channel estimation model. However, attention should be paid to the above sections.",Authentic
Effects of gerbil disturbance on the ecological stoichiometric characteristics and nutrient uptake and utilization of H. ammodendron,"Rodent activity is an important factor that affects the growth and development of Haloxylon ammodendron. Studying the effect of rodent disturbance on plant ecological stoichiometric ratios helps evaluate the mechanism by which rodent disturbance affects plant growth and development. In this study, H. ammodendron, a dominant plant, and the gerbil, a typical rodent in the Gurbantunggut Desert, were selected as research objects. By measuring the biomass, root soil , and C: N: P ecostoichiometric ratios of the assimilated branches of H. ammodendron at different growth phases, the impact of great gerbil disturbance on the biomass, ecostoichiometric ratios, and nutrient uptake and use of H. ammodendron were investigated at different growth stages. The results showed that the gerbil disturbance increased the biomass of the aboveground part of the adult H. ammodendron. Gerbil disturbance also increased the soil N/P around the roots during the growth stage and the assimilation branch when the plants were middle-aged. In addition, this disturbance decreased the C/N value. The photosynthetic nitrogen use efficiency (PNUE) and photosynthetic phosphorus use efficiency (PPUE) of H. ammodendron during various growth periods decreased, and the absorption of total nitrogen (TN) in the soil decreased. However, soil total potassium (TK) absorption increased. The soil TN absorption capacity was weakened by gerbil disturbance. Meanwhile, the TK absorption capacity was enhanced, and the biomass of adult H. ammodendron increased. PNUE and PPUE of H. ammodendron were decreased by gerbil interference. In this study, the influence of gerbil disturbance on nutrient absorption by H. ammodendron and use of H. ammodendron was determined. This has provided a baseline for further studies on the coexistence mechanisms of gerbils and H. ammodendron.","Basic reporting
1. Basic Reporting
The report is well written, but many grammatical errors need linguistic review.

Experimental design
2. Experimental design
Materials & Methods
- Study area
It is preferable to put coordinates in place to define the study area better.
- Experimental design and analysis process
Clear

Validity of the findings
4. Validity of the findings
clear and correct
5. Tables and figures
clear and effective

Additional comments
6. General comments
The whole paper needs an English review.
7. Confidential notes to the editor ammodendron.
None",Authentic
"Biomass allocation, carbon content change and carbon stock distribution of Scots pine (Pinus sylvestris var. mongholica) plantation forests at different stand ages and densities in the sandy area of western Liaoning Province, China","Scots pine (Pinus sylvestris var. mongholica) is one of the main afforestation species in the southeastern edge of the Horqin Sandy Land, which not only effectively prevents the expansion of the sandland, but also serves as an important carbon reservoir. Uncovering the biomass allocation, carbon content changes and carbon stock distribution among organs of Scots pine at different ages and densities can provide a theoretical basis for rational afforestation and management in the western Liaoning sandy area. In this study, the biomass and carbon content of four organs, namely, trunk, branch, leaf and root, were measured at different age classes (young stage, half-mature stage, near-mature stage, mature stage and over-mature stage forests) and densities, and the carbon stock of Scots pine plantations in the western Liaoning sandy area was estimated. The results showed that the biomass of all organs except leaves increased with the increase of stand age, but the rate of increase of each organ was not consistent. To resist wind and sand, the biomass was preferentially allocated to the trunk and roots, which was in line with the theory of allometry and optimal allocation. The carbon content of each organ of Scots pine increases and then decreases with the rise of forest age classes, and the root carbon content is the lowest in five forest ages, and the plant carbon is mainly stored in the aboveground part. The biomass of each organ in both near mature and mature forests increased with the decrease in density. Still, the root carbon content decreased with the decrease of density, and the PCA analysis showed that near mature and mature forests had better carbon sequestration capacity in low density. The carbon stock of Scots pine plantation forests in the sandy area of western Liaoning was mainly concentrated in Fuxin and Chaoyang cities, and the lowest carbon stock was found in Jinzhou. The age and density of the forest stand are important factors affecting the biomass and carbon content of Scots pine, therefore, when operating Scots pine plantation forests in the sandy areas of western Liaoning, different stand densities should be retained at different age stages, so that their biomass and carbon content can be sufficiently accumulated and distributed to improve the local environment.","Basic reporting
The article is very well prepared and contains the results studied in detail. Afforestation efforts and their success, especially in stressful areas, are of vital importance. Examining both the success and carbon sequestration potential of such afforestation will shed light on the applications. The article contains important results in these aspects and can be recommended for acceptance.

The tree specifically studied in the article is a variety and there are some errors in its Latin spelling. It will be sufficient to write the Latin name once and correctly. Its English name is stated as ""Pine"". Instead of this common name, the common name of the specific variety must be written. Throughout the text, it would be appropriate to continue with the specific common name only after specifying the common name (Latin name) in the Abstract section.

Experimental design
Throughout the article, there are references such as ""Chen Zheng et al. showed that the highest carbon stocks 79 are expected in northeastern China by 2060 (Chen et al., 2024)."" Instead of writing the references in this way, it would be more appropriate to write them as ""Chen Zheng et al. (2024) showed that the highest carbon stocks are expected in northeastern China.""

Research question is well defined, relevant & meaningful. However, the aim of the study may clearly been writen just after the hypotheses.

Validity of the findings
The results and analysis looks meaningful and include important comparisons from different age classes and land features.

Additional comments
This paper may be accepted after making some minor corrections",Authentic
Mass harvested per trunkload as a constraint to forage consumption by the African savanna elephant (Loxodonta africana),"African elephants can convert woodland to shrubland or grassland. Moderate conversion observed at low elephant densities may improve conditions for other animals, while extensive transformation at high densities may reduce plant and animal diversity. The threshold density separating facilitation from habitat destruction varies spatially and is partly determined by food choice, which differs between adult bulls and members of breeding herds. When elephants consume herbaceous forage, woodland damage is low but this increases when woody plants are the primary food source. Consequently, an understanding of diet selection by elephants is important for forecasting the degree of vegetation conversion. One hypothesis is that elephants select forage that provides the highest rate of intake. The mass harvested per trunkload is a constraint to intake and therefore this study sought to determine if trunkload mass changes seasonally; varies across common forage types utilised by elephants; and differs between adult bulls and members of breeding herds.

Methods
Mechanistic models were used to estimate the mass harvested per trunkload of green grass, mixed green and dry grass, forbs, and leaves and bark from woody plants across a heterogenous, semi-arid savanna at a daily time step for one annual cycle. Separate models were constructed for adult bulls and members of breeding herds.

Results
Harvestable mass changed seasonally for herbaceous forage and for leaves from woody plants but was constant for canopy bark. The maximum average trunkload mass of green grass was >75 times heavier than the bite mass reported for other grazers while trunkloads of leaves from woody plants were only eight times heavier than the bite mass reported for other browsers. This is attributed to the advantage provided by the trunk, which increases harvestable mass beyond the constraint of mouth volume, particularly when feeding on grass. Herbaceous forage yielded heavier trunkloads than leaves and bark from woody plants during the wet season, but this was reversed in the dry season. Adult bulls harvested heavier trunkloads than members of breeding herds for all forage types except forbs; and adult bulls harvested disproportionately large trunkloads of grass and bark.

Conclusion
The strong correlation between the model outputs and well-established trends in the seasonal changes in elephants’ diet suggests that elephants are preferential foragers of the largest trunkload on offer. Consequently, they are grazers when suitable herbaceous forage is available, and browsers when it is scarce. Green grass provides adult bulls with disproportionately large trunkloads and, therefore, adult bulls are predicted to have a strong preference for green grass. Availability of suitable green grass during the dry season may therefore buffer woodlands from heavy impact by adult bulls. Consequently, where possible, protected areas with elephants should aim to include key grass resources.","Basic reporting
The writing is clear and unambiguous. The literature utilised is correct and sufficient. Structure is correct. Results link to hypotheses.

Experimental design
Experimental design is excellent. research questions are clear. Very rigorous investigation. Methods described well.

Validity of the findings
Findings are solid, robust and sound. Conclusions well stated.

Additional comments
In this paper, the authors used mechanistic models to estimate how mass harvested per trunkload of different vegetation types (e.g. grass, forbs, woody vegetation) varied between seasons, and males and breeding herds. They found that harvestable mass varied seasonally, and bulls harvested larger trunkloads compared to breeding herds across all vegetation types. In addition, elephants obtained trunkload masses of green grass that were >75 times larger than other grazers, and trunkload masses of woody vegetation that were 8 times larger than other browsers. This is not too surprising (but still very cool) as elephants are unique in this comparison in being able to use their trunks to obtain food and not having to rely on mouth width, teeth, tongues, or lips to take bites. In addition, I really liked the fact that the authors could quantify when the transitions would and should take place by determining when the harvestable mass of a preferred food source (e.g. green grass) declines to the point where it overlaps with the mass available next preferred food source (e.g. green browse). This provides a really nice example of how herbivores expand their diet breadth. Moreover, the similar patterns of forage selection between the authors’ models and typical elephants foraging patterns highlights elephants’ preference for green grass. Understanding this, the authors suggest that in areas with a high availability of green grass into the dry season would reduce elephant foraging and thus impacts on woody vegetation. Overall, I really enjoyed the paper. It was a real pleasure to read. It is well written, easy to follow, and timely. Moreover, the results will be helpful to anyone working on elephant foraging. Due to the high quality of the manuscript I cannot think of any adjustments that would improve the manuscript. This is the first time that this has happened, so congratulations to the authors!

Prof Adrian M Shrader
University of Pretoria",Authentic
Buscando Luciérnagas: findings on Mexican fireflies from an 8-year virtual citizen science project,"Fireflies are charismatic and conspicuous animals that often evoke childhood memories, which make firefly watching an emotional and even transformative experience. Citizen science projects have the potential to enhance transformative interactions with nature. Like many insects, firefly populations are declining due to land-use change, urbanization and watershed pollution, but ecological data for this group is scarce, particularly in Mexico. Virtual Citizen Science (VCS) initiatives can serve as a scientific instrument, yield reliable and relevant scientific data, and may also offer a platform to promote broader educational outcomes. We established a VCS project to document fireflies through a Facebook page named Buscando Luciernagas with the following hashtag in every post #veobrillar in 2015. After seven years we complied the gathered data and analyzed the results. We had 647 reports in total, with strong fluctuations from year to year that were correlated with the number of posts and publicity we made each year. The largest number of sightings (319) occurred in 2021, coinciding with a change in our reporting format. Most of the reports came from central Mexico (91.5%), but we had reports from eight states and also received some international reports from nine different countries. Fireflies were most frequently seen in habitats characterized as grasslands (35%) or forests (27%), followed by gardens (17%), vacant lots (9%) and parks (5%) but also paved areas and agricultural lands were reported (3% each). Most citizen scientists reported few fireflies, 1–5 individuals (31%) while only 11% reported more than 50 fireflies per sighting. Our study can serve as a preliminary approach to explore more focused research areas in the future. For example, in areas with no sightings, we could reach out to specific local people to corroborate that there are no fireflies in the region, or in areas with high sightings we could promote conservation measures. Notably, we found it intriguing to discover numerous sightings of fireflies in urban areas, which could offer a potential avenue for further research in urban ecology.","Basic reporting
I have revised both the manuscript and the rebuttal letter. My intention was to see whether authors followed those reasonable suggestions so that the new version looks improved. My general impression is that authors did a great job in crafting their work both by accepting those criticisms that made sense as well as adding or removing information they realized was or was not needed.

Given the above, my opinion is that this paper looks great now and ready to be accepted.

Experimental design
This is report of data collected by citizens who watched fireflies (mainly in Mexico) and sent such information via Facebook. This approach is valid.

Validity of the findings
Validity is 100% as authors filtered and analyzed the sightings good enough to sustain their conclusions. I particularly like the data where fireflies are linked to land use as this is very novel. This should serve as an initiative to promote firefly conservation.",Authentic
Tree regeneration and ontogenetic strategies of northern European hemiboreal forests: transitioning towards closer-to-nature forest management,"Background
Tree ontogeny is the genetic trajectories of regenerative processes in trees, repeating in time and space, including both development and reproduction. Understanding the principles of tree ontogeny is a key priority in emulating natural ecological patterns and processes that fall within the calls for closer-to-nature forest management. By recognizing and respecting the growth and development of individual trees and forest stands, forest managers can implement strategies that align with the inherent dynamics of forest ecosystem. Therefore, this study aims to determine the ontogenetic characteristics of tree regeneration and growth in northern European hemiboreal forests.

Methodology
We applied a three-step process to review i) the ontogenetic characteristics of forest trees, ii) ontogenetic strategies of trees for stand-forming species, and iii) summarise the review findings of points i and ii to propose a conceptual framework for transitioning towards closer-to-nature management of hemiboreal forest trees. To achieve this, we applied the super-organism approach to forest development as a holistic progression towards the establishment of natural stand forming ecosystems.

Results
The review showed multiple aspects; first, there are unique growth and development characteristics of individual trees at the pre-generative and generative stages of ontogenesis under full and minimal light conditions. Second, there are four main modes of tree establishment, growth and development related to the light requirements of trees; they were described as ontogenetic strategies of stand-forming tree species: gap colonisers, gap successors, gap fillers and gap competitors. Third, the summary of our analysis of the ontogenetic characteristics of tree regeneration and growth in northern European hemiboreal forests shows that stand-forming species occupy multiple niche positions relative to forest dynamics modes.

Conclusions
This study demonstrates the importance of understanding tree ontogeny under the pretext of closer-to-nature forest management, and its potential towards formulating sustainable forest management that emulates the natural dynamics of forest structure. We suggest that scientists and foresters can adapt closer-to-nature management strategies, such as assisted natural regeneration of trees, to improve the vitality of tree communities and overall forest health. The presented approach prioritizes ecological integrity and forest resilience, promoting assisted natural regeneration, and fostering adaptability and connectivity among plant populations in hemiboreal tree communities.","Basic reporting
The article by Raimundas Petrokas, Michael Manton and Darius Kavaliauskas is devoted to the review of ideas on discrete description of tree ontogeny and tree regeneration strategies for the development of closer-to-nature forest management strategies. This review is of broad interest and within the scope of the journal. The introduction presents in detail and adequately the topic of the review and its relevance for a wide range of specialists related to both forest theory and practice.

Experimental design
The presentation of results and discussion are greatly improved by the authors. Links between different parts of the review have been added. Information on existing concepts has been added and new sources discussed. The quality of the text has been improved so that it can be understood by specialists from different disciplines.

Validity of the findings
The conclusion and abstract are generally consistent with the content of the review, identifying opportunities for future directions in forest management in relation to more fully utilizing knowledge of tree species biology. The authors have improved the linkage of the conclusion to the discussion.

Additional comments
The article may be recommended for publication.",Authentic
Association of metallic elements with telomere length in children with autism spectrum disorder,"Background
Imbalances in metal elements have been identified as a potential risk factor for autism spectrum disorder (ASD), and shortened telomere length (TL) is commonly observed in children with ASD. Metal elements may influence telomere homeostasis through oxidative stress, which could contribute to the pathogenesis of autism. However, studies examining the combined effects of metal elements on TL in children with ASD are limited. To fill the gaps in the current literature, this study aimed to investigate the relationship between six metallic elements: manganese (Mn), copper (Cu), zinc (Zn), calcium (Ca), magnesium (Mg), and iron (Fe), and TL in the whole blood of children with ASD.

Methods
A total of 83 children with ASD and 95 typically developing children were recruited. TL was measured using digital PCR, while metal concentrations were assessed using inductively coupled plasma mass spectrometry (ICP-MS). Linear regression analysis was first conducted to explore the correlations between metal elements and TL in both groups. Additionally, Bayesian Kernel Machine Regression (BKMR) was used to further examine the combined effects and potential interactions of these metals on TL in the ASD group.

Results
In the ASD group, Ca was found to have a protective effect on TL (β = 0.07, 95% CI [0.01–0.13], P = 0.027). In contrast, Mg showed a protective effect on TL in the control group (β = 0.10, 95% CI [0.01–0.18], P = 0.027). The BKMR model revealed a significant positive combined effect of the metal mixtures on TL in the ASD group, with Ca having the largest individual effect (PIP = 0.45). Further analysis indicated that increases in Zn and Mn concentrations from the 25th to the 75th percentile were negatively correlated with TL, while higher concentrations of Cu, Ca, Mg, and Fe were positively associated with TL. No significant interactions among the metals were observed.

Conclusions
This study suggests a potential link between metallic elements and TL in children with ASD, with Ca having the greatest effect. Our findings highlight the potential benefits of appropriate calcium supplementation as a protective strategy for lengthening telomeres in children with ASD, emphasizing the importance of early nutritional interventions to improve their overall health.","Basic reporting
The article by Raimundas Petrokas, Michael Manton and Darius Kavaliauskas is devoted to the review of ideas on discrete description of tree ontogeny and tree regeneration strategies for the development of closer-to-nature forest management strategies. This review is of broad interest and within the scope of the journal. The introduction presents in detail and adequately the topic of the review and its relevance for a wide range of specialists related to both forest theory and practice.

Experimental design
The presentation of results and discussion are greatly improved by the authors. Links between different parts of the review have been added. Information on existing concepts has been added and new sources discussed. The quality of the text has been improved so that it can be understood by specialists from different disciplines.

Validity of the findings
The conclusion and abstract are generally consistent with the content of the review, identifying opportunities for future directions in forest management in relation to more fully utilizing knowledge of tree species biology. The authors have improved the linkage of the conclusion to the discussion.

Additional comments
The article may be recommended for publication.",Authentic
